PERNR,KTART_01,BEGDA_01,ENDDA_01,DESTA_01,DEEND_01,ANZHL,
30000688            ,90,11/04/2020,10/04/2021,11/04/2021,10/04/2022,3.0000,
30000692            ,90,11/04/2017,10/04/2018,11/04/2018,10/04/2019,1.0000,
30000692            ,90,11/04/2018,10/04/2019,11/04/2019,10/04/2020,1.0000,
30000731            ,90,04/04/2017,03/04/2018,04/04/2018,03/04/2019,4.0000,
30000731            ,90,04/04/2018,03/04/2019,04/04/2019,03/04/2020,4.0000,
30000733            ,90,04/04/2017,03/04/2018,04/04/2018,03/04/2019,1.0000,
30000733            ,90,04/04/2018,03/04/2019,04/04/2019,03/04/2020,1.0000,
30000733            ,90,04/04/2019,03/04/2020,04/04/2020,03/04/2021,1.0000,
30000733            ,90,04/04/2020,03/04/2021,04/04/2021,03/04/2022,1.0000,
30000738            ,90,04/04/2017,03/04/2018,04/04/2018,03/04/2019,1.0000,
30000738            ,90,04/04/2018,03/04/2019,04/04/2019,03/04/2020,1.0000,
30000743            ,90,04/04/2017,03/04/2018,04/04/2018,03/04/2019,1.0000,
30000743            ,90,04/04/2018,03/04/2019,04/04/2019,03/04/2020,1.0000,
30000748            ,90,04/04/2017,03/04/2018,04/04/2018,03/04/2019,1.0000,
30000748            ,90,04/04/2018,03/04/2019,04/04/2019,03/04/2020,1.0000,
30000753            ,90,04/04/2017,03/04/2018,04/04/2018,03/04/2019,5.0000,
30000753            ,90,04/04/2018,03/04/2019,04/04/2019,03/04/2020,5.0000,
30000754            ,90,04/04/2017,03/04/2018,04/04/2018,03/04/2019,2.0000,
30000754            ,90,04/04/2018,03/04/2019,04/04/2019,03/04/2020,2.0000,
30000772            ,90,11/04/2017,10/04/2018,11/04/2018,10/04/2019,5.0000,
30000772            ,90,11/04/2018,10/04/2019,11/04/2019,10/04/2020,5.0000,
 SELECT  MT.IDUSR  [PERNR],  TV.FE_FINA_VACA  [KTART_01], P1.FE_INGR_EMPR   [BEGDA_01], ''  [ENDDA_01], ''  [DESTA_01], ''  [DEEND_01], TV.NU_DIAS  [ANZHL] FROM dbo.TMTRAB_EMPR AS P1 INNER JOIN dbo.TMTRAB_PERS AS N1 ON P1.CO_TRAB = N1.CO_TRAB INNER JOIN dbo.TDCCOS_TRAB AS C1 ON P1.CO_TRAB = C1.CO_TRAB INNER JOIN dbo.MTRA  AS MT  ON P1.CO_TRAB = MT.STCD1 INNER JOIN  dbo.TDVACA  AS TV ON TV.CO_TRAB = P1.CO_TRAB  WHERE     (P1.CO_EMPR = '10') AND (SUBSTRING(CAST(C1.CO_CENT_COST AS CHAR), 1, 3) = '011') AND P1.TI_SITU = 'ACT' ORDER BY  MT.IDUSR 
La conversión de la cadena "0/04/2017" en el tipo 'Date' no es válida.
