USERID,PERSON_ID_EXTERNAL,STARTDATE,ORIGINALSTARTDATE,ISPRIMARY,SENIORITYDATE,JOBNUMBER,
30002663            ,30002663            ,17/03/2015,17/03/2015,True,,,
30002664            ,30002664            ,18/03/2015,18/03/2015,True,,,
30002665            ,30002665            ,18/03/2015,18/03/2015,True,,,
30002666            ,30002666            ,17/03/2015,17/03/2015,True,,,
30002667            ,30002667            ,17/03/2015,17/03/2015,True,,,
30002668            ,30002668            ,17/03/2015,17/03/2015,True,,,
30002669            ,30002669            ,17/03/2015,17/03/2015,True,,,
30002670            ,30002670            ,17/03/2015,17/03/2015,True,,,
30002671            ,30002671            ,16/03/2015,16/03/2015,True,,,
30002672            ,30002672            ,16/03/2015,16/03/2015,True,,,
30002673            ,30002673            ,01/03/2015,01/03/2015,True,,,
30002674            ,30002674            ,11/03/2015,11/03/2015,True,,,
30002675            ,30002675            ,03/06/2017,03/06/2017,True,,,
30002676            ,30002676            ,13/03/2015,13/03/2015,True,,,
30002677            ,30002677            ,10/03/2015,10/03/2015,True,,,
30002678            ,30002678            ,10/03/2015,10/03/2015,True,,,
30002679            ,30002679            ,10/03/2015,10/03/2015,True,,,
30002680            ,30002680            ,10/03/2015,10/03/2015,True,,,
30002681            ,30002681            ,05/03/2015,05/03/2015,True,,,
30002682            ,30002682            ,09/03/2015,09/03/2015,True,,,
30002683            ,30002683            ,01/08/2016,01/08/2016,True,,,
30002684            ,30002684            ,04/03/2015,04/03/2015,True,,,
30002685            ,30002685            ,02/03/2015,02/03/2015,True,,,
30002686            ,30002686            ,03/03/2015,03/03/2015,True,,,
30002687            ,30002687            ,04/03/2015,04/03/2015,True,,,
30002688            ,30002688            ,03/03/2015,03/03/2015,True,,,
30002689            ,30002689            ,03/03/2015,03/03/2015,True,,,
30002690            ,30002690            ,03/03/2015,03/03/2015,True,,,
30002691            ,30002691            ,27/02/2015,27/02/2015,True,,,
30002692            ,30002692            ,27/02/2015,27/02/2015,True,,,
30002693            ,30002693            ,27/02/2015,27/02/2015,True,,,
30002694            ,30002694            ,01/03/2016,01/03/2016,True,,,
30002695            ,30002695            ,24/02/2015,24/02/2015,True,,,
30002696            ,30002696            ,24/02/2015,24/02/2015,True,,,
30002697            ,30002697            ,24/02/2015,24/02/2015,True,,,
30002698            ,30002698            ,24/02/2015,24/02/2015,True,,,
30002699            ,30002699            ,25/02/2015,25/02/2015,True,,,
30002700            ,30002700            ,25/02/2015,25/02/2015,True,,,
30002701            ,30002701            ,01/04/2016,01/04/2016,True,,,
30002702            ,30002702            ,19/02/2015,19/02/2015,True,,,
30002703            ,30002703            ,19/02/2015,19/02/2015,True,,,
30002704            ,30002704            ,17/02/2015,17/02/2015,True,,,
30002705            ,30002705            ,17/02/2015,17/02/2015,True,,,
30002706            ,30002706            ,17/02/2015,17/02/2015,True,,,
30002707            ,30002707            ,19/02/2015,19/02/2015,True,,,
30002708            ,30002708            ,16/02/2015,16/02/2015,True,,,
30002709            ,30002709            ,16/02/2015,16/02/2015,True,,,
30002710            ,30002710            ,16/02/2015,16/02/2015,True,,,
30002711            ,30002711            ,16/02/2015,16/02/2015,True,,,
30002712            ,30002712            ,16/02/2015,16/02/2015,True,,,
30002713            ,30002713            ,16/02/2015,16/02/2015,True,,,
30002714            ,30002714            ,16/02/2015,16/02/2015,True,,,
30002715            ,30002715            ,01/07/2016,01/07/2016,True,,,
30002716            ,30002716            ,10/02/2015,10/02/2015,True,,,
30002717            ,30002717            ,10/02/2015,10/02/2015,True,,,
30002718            ,30002718            ,13/02/2015,13/02/2015,True,,,
30002719            ,30002719            ,13/02/2015,13/02/2015,True,,,
30002720            ,30002720            ,01/08/2017,01/08/2017,True,,,
30002721            ,30002721            ,07/02/2015,07/02/2015,True,,,
30002722            ,30002722            ,07/02/2015,07/02/2015,True,,,
30002723            ,30002723            ,04/02/2015,04/02/2015,True,,,
30002724            ,30002724            ,04/02/2015,04/02/2015,True,,,
30002725            ,30002725            ,01/04/2015,01/04/2015,True,,,
30002726            ,30002726            ,03/02/2015,03/02/2015,True,,,
30002727            ,30002727            ,29/01/2015,29/01/2015,True,,,
30002728            ,30002728            ,29/01/2015,29/01/2015,True,,,
30002729            ,30002729            ,01/05/2015,01/05/2015,True,,,
30002730            ,30002730            ,29/01/2015,29/01/2015,True,,,
30002731            ,30002731            ,27/01/2015,27/01/2015,True,,,
30002732            ,30002732            ,27/01/2015,27/01/2015,True,,,
30002733            ,30002733            ,27/01/2015,27/01/2015,True,,,
30002734            ,30002734            ,27/01/2015,27/01/2015,True,,,
30002735            ,30002735            ,27/01/2015,27/01/2015,True,,,
30002736            ,30002736            ,27/01/2015,27/01/2015,True,,,
30002737            ,30002737            ,15/01/2015,15/01/2015,True,,,
30002738            ,30002738            ,23/01/2015,23/01/2015,True,,,
30002739            ,30002739            ,20/01/2015,20/01/2015,True,,,
30002740            ,30002740            ,23/11/2016,23/11/2016,True,,,
30002741            ,30002741            ,01/08/2017,01/08/2017,True,,,
30002742            ,30002742            ,04/08/2016,04/08/2016,True,,,
30002743            ,30002743            ,01/10/2016,01/10/2016,True,,,
30002744            ,30002744            ,01/07/2015,01/07/2015,True,,,
30002745            ,30002745            ,13/01/2015,13/01/2015,True,,,
30002746            ,30002746            ,13/01/2015,13/01/2015,True,,,
30002747            ,30002747            ,13/01/2015,13/01/2015,True,,,
30002748            ,30002748            ,12/01/2015,12/01/2015,True,,,
30002749            ,30002749            ,12/01/2015,12/01/2015,True,,,
30002750            ,30002750            ,07/01/2015,07/01/2015,True,,,
30002751            ,30002751            ,06/01/2015,06/01/2015,True,,,
30002752            ,30002752            ,30/12/2014,30/12/2014,True,,,
30002753            ,30002753            ,15/04/2017,15/04/2017,True,,,
30002754            ,30002754            ,01/07/2015,01/07/2015,True,,,
30002755            ,30002755            ,29/12/2014,29/12/2014,True,,,
30002756            ,30002756            ,23/12/2014,23/12/2014,True,,,
30002757            ,30002757            ,23/12/2014,23/12/2014,True,,,
30002758            ,30002758            ,23/12/2014,23/12/2014,True,,,
30002759            ,30002759            ,23/12/2014,23/12/2014,True,,,
30002760            ,30002760            ,23/12/2014,23/12/2014,True,,,
30002762            ,30002762            ,18/12/2014,18/12/2014,True,,,
30002763            ,30002763            ,18/12/2014,18/12/2014,True,,,
30002764            ,30002764            ,18/12/2014,18/12/2014,True,,,
30002765            ,30002765            ,15/12/2014,15/12/2014,True,,,
30002766            ,30002766            ,16/12/2014,16/12/2014,True,,,
30002767            ,30002767            ,16/12/2014,16/12/2014,True,,,
30002768            ,30002768            ,06/10/2016,06/10/2016,True,,,
30002769            ,30002769            ,14/06/2017,14/06/2017,True,,,
30002770            ,30002770            ,03/12/2014,03/12/2014,True,,,
30002771            ,30002771            ,02/12/2014,02/12/2014,True,,,
30002772            ,30002772            ,02/12/2014,02/12/2014,True,,,
30002773            ,30002773            ,02/12/2014,02/12/2014,True,,,
30002774            ,30002774            ,02/12/2014,02/12/2014,True,,,
30002775            ,30002775            ,01/12/2014,01/12/2014,True,,,
30002776            ,30002776            ,29/11/2014,29/11/2014,True,,,
30002777            ,30002777            ,25/11/2014,25/11/2014,True,,,
30002778            ,30002778            ,25/11/2014,25/11/2014,True,,,
30002779            ,30002779            ,19/11/2014,19/11/2014,True,,,
30002780            ,30002780            ,19/11/2014,19/11/2014,True,,,
30002781            ,30002781            ,13/11/2014,13/11/2014,True,,,
30002782            ,30002782            ,13/11/2014,13/11/2014,True,,,
30002783            ,30002783            ,24/11/2014,24/11/2014,True,,,
30002784            ,30002784            ,12/06/2015,12/06/2015,True,,,
30002785            ,30002785            ,21/11/2014,21/11/2014,True,,,
30002786            ,30002786            ,20/11/2014,20/11/2014,True,,,
30002787            ,30002787            ,13/11/2014,13/11/2014,True,,,
30002788            ,30002788            ,13/11/2014,13/11/2014,True,,,
30002789            ,30002789            ,13/11/2014,13/11/2014,True,,,
30002790            ,30002790            ,13/11/2014,13/11/2014,True,,,
30002791            ,30002791            ,13/11/2014,13/11/2014,True,,,
30002792            ,30002792            ,01/03/2015,01/03/2015,True,,,
30002793            ,30002793            ,08/11/2014,08/11/2014,True,,,
30002794            ,30002794            ,28/10/2014,28/10/2014,True,,,
30002795            ,30002795            ,28/10/2014,28/10/2014,True,,,
30002796            ,30002796            ,28/10/2014,28/10/2014,True,,,
30002797            ,30002797            ,11/04/2017,11/04/2017,True,,,
30002798            ,30002798            ,28/10/2014,28/10/2014,True,,,
30002799            ,30002799            ,28/10/2014,28/10/2014,True,,,
30002800            ,30002800            ,29/10/2014,29/10/2014,True,,,
30002801            ,30002801            ,29/10/2014,29/10/2014,True,,,
30002802            ,30002802            ,01/03/2015,01/03/2015,True,,,
30002803            ,30002803            ,28/10/2014,28/10/2014,True,,,
30002804            ,30002804            ,28/10/2014,28/10/2014,True,,,
30002805            ,30002805            ,21/10/2014,21/10/2014,True,,,
30002806            ,30002806            ,21/10/2014,21/10/2014,True,,,
30002807            ,30002807            ,15/10/2014,15/10/2014,True,,,
30002808            ,30002808            ,15/10/2014,15/10/2014,True,,,
30002809            ,30002809            ,20/10/2014,20/10/2014,True,,,
30002810            ,30002810            ,14/10/2014,14/10/2014,True,,,
30002811            ,30002811            ,14/10/2014,14/10/2014,True,,,
30002812            ,30002812            ,14/10/2014,14/10/2014,True,,,
30002813            ,30002813            ,14/10/2014,14/10/2014,True,,,
30002814            ,30002814            ,14/10/2014,14/10/2014,True,,,
30002815            ,30002815            ,14/10/2014,14/10/2014,True,,,
30002816            ,30002816            ,14/10/2014,14/10/2014,True,,,
30002817            ,30002817            ,14/10/2014,14/10/2014,True,,,
30002818            ,30002818            ,15/10/2014,15/10/2014,True,,,
30002819            ,30002819            ,01/06/2016,01/06/2016,True,,,
30002820            ,30002820            ,01/11/2015,01/11/2015,True,,,
30002821            ,30002821            ,07/10/2014,07/10/2014,True,,,
30002822            ,30002822            ,09/10/2014,09/10/2014,True,,,
30002823            ,30002823            ,07/10/2014,07/10/2014,True,,,
30002824            ,30002824            ,07/10/2014,07/10/2014,True,,,
30002825            ,30002825            ,07/10/2014,07/10/2014,True,,,
30002826            ,30002826            ,07/10/2014,07/10/2014,True,,,
30002827            ,30002827            ,07/10/2014,07/10/2014,True,,,
30002828            ,30002828            ,07/10/2014,07/10/2014,True,,,
30002829            ,30002829            ,07/10/2014,07/10/2014,True,,,
30002830            ,30002830            ,01/04/2015,01/04/2015,True,,,
30002831            ,30002831            ,01/12/2016,01/12/2016,True,,,
30002832            ,30002832            ,27/07/2016,27/07/2016,True,,,
30002833            ,30002833            ,01/10/2014,01/10/2014,True,,,
30002834            ,30002834            ,01/10/2014,01/10/2014,True,,,
30002835            ,30002835            ,01/10/2014,01/10/2014,True,,,
30002836            ,30002836            ,01/10/2014,01/10/2014,True,,,
30002837            ,30002837            ,01/02/2016,01/02/2016,True,,,
30002838            ,30002838            ,30/09/2014,30/09/2014,True,,,
30002839            ,30002839            ,30/09/2014,30/09/2014,True,,,
30002840            ,30002840            ,30/09/2014,30/09/2014,True,,,
30002841            ,30002841            ,30/09/2014,30/09/2014,True,,,
30002842            ,30002842            ,30/09/2014,30/09/2014,True,,,
30002843            ,30002843            ,30/09/2014,30/09/2014,True,,,
30002844            ,30002844            ,25/04/2017,25/04/2017,True,,,
30002845            ,30002845            ,24/09/2014,24/09/2014,True,,,
30002846            ,30002846            ,24/09/2014,24/09/2014,True,,,
30002847            ,30002847            ,24/09/2014,24/09/2014,True,,,
30002848            ,30002848            ,01/11/2015,01/11/2015,True,,,
30002849            ,30002849            ,01/09/2015,01/09/2015,True,,,
30002850            ,30002850            ,01/11/2015,01/11/2015,True,,,
30002851            ,30002851            ,18/09/2014,18/09/2014,True,,,
30002852            ,30002852            ,18/09/2014,18/09/2014,True,,,
30002853            ,30002853            ,12/09/2014,12/09/2014,True,,,
30002854            ,30002854            ,16/09/2014,16/09/2014,True,,,
30002855            ,30002855            ,16/09/2014,16/09/2014,True,,,
30002856            ,30002856            ,01/09/2014,01/09/2014,True,,,
30002857            ,30002857            ,09/09/2014,09/09/2014,True,,,
30002858            ,30002858            ,09/09/2014,09/09/2014,True,,,
30002859            ,30002859            ,09/09/2014,09/09/2014,True,,,
30002860            ,30002860            ,11/09/2014,11/09/2014,True,,,
30002861            ,30002861            ,01/05/2015,01/05/2015,True,,,
30002862            ,30002862            ,01/03/2017,01/03/2017,True,,,
30002863            ,30002863            ,04/09/2014,04/09/2014,True,,,
30002864            ,30002864            ,05/09/2014,05/09/2014,True,,,
30002865            ,30002865            ,04/09/2014,04/09/2014,True,,,
30002866            ,30002866            ,04/09/2014,04/09/2014,True,,,
30002867            ,30002867            ,04/09/2014,04/09/2014,True,,,
30002868            ,30002868            ,02/09/2014,02/09/2014,True,,,
30002869            ,30002869            ,02/09/2014,02/09/2014,True,,,
30002870            ,30002870            ,02/09/2014,02/09/2014,True,,,
30002871            ,30002871            ,02/09/2014,02/09/2014,True,,,
30002872            ,30002872            ,02/09/2014,02/09/2014,True,,,
30002873            ,30002873            ,02/09/2014,02/09/2014,True,,,
30002874            ,30002874            ,01/09/2014,01/09/2014,True,,,
30002876            ,30002876            ,27/08/2014,27/08/2014,True,,,
30002877            ,30002877            ,26/08/2014,26/08/2014,True,,,
30002878            ,30002878            ,13/06/2017,13/06/2017,True,,,
30002879            ,30002879            ,26/08/2014,26/08/2014,True,,,
30002880            ,30002880            ,26/08/2014,26/08/2014,True,,,
30002881            ,30002881            ,26/08/2014,26/08/2014,True,,,
30002882            ,30002882            ,26/08/2014,26/08/2014,True,,,
30002883            ,30002883            ,26/08/2014,26/08/2014,True,,,
30002884            ,30002884            ,26/08/2014,26/08/2014,True,,,
30002885            ,30002885            ,25/08/2014,25/08/2014,True,,,
30002886            ,30002886            ,25/08/2014,25/08/2014,True,,,
30002887            ,30002887            ,20/08/2014,20/08/2014,True,,,
30002888            ,30002888            ,19/08/2014,19/08/2014,True,,,
30002889            ,30002889            ,19/08/2014,19/08/2014,True,,,
30002890            ,30002890            ,01/09/2015,01/09/2015,True,,,
30002891            ,30002891            ,01/09/2015,01/09/2015,True,,,
30002892            ,30002892            ,19/08/2014,19/08/2014,True,,,
30002893            ,30002893            ,19/08/2014,19/08/2014,True,,,
30002894            ,30002894            ,19/08/2014,19/08/2014,True,,,
30002895            ,30002895            ,16/03/2017,16/03/2017,True,,,
30002896            ,30002896            ,20/09/2016,20/09/2016,True,,,
30002897            ,30002897            ,18/08/2014,18/08/2014,True,,,
